CustomerID,Age,Income,Location,EmploymentStatus,LoanAmount,TenureMonths,InterestRate,LoanType,MissedPayments,DelaysDays,PartialPayments,InteractionAttempts,SentimentScore,ResponseTimeHours,AppUsageFrequency,WebsiteVisits,Complaints,Target
CUST0072,51,325885,Urban,Self-Employed,810129,54,14.49,Education,2,96,0,0,0.94,25.92,0.68,39,0,0
CUST0073,35,1096209,Urban,Student,685329,58,11.63,Education,3,143,0,4,0.45,64.83,0.84,40,2,1
CUST0074,28,741656,Urban,Student,690473,28,13.84,Auto,2,7,0,2,-0.18,8.95,0.13,4,0,0
CUST0075,34,870688,Rural,Unemployed,227164,52,13.49,Auto,3,172,0,9,-0.96,22.71,0.66,4,0,0
CUST0076,43,388014,Urban,Student,506887,37,7.97,Auto,3,39,0,0,-0.93,56.16,0.58,5,2,1
CUST0077,60,291751,Urban,Self-Employed,584638,57,10.63,Personal,1,13,0,7,0.37,39.34,0.03,22,0,0
CUST0078,41,430203,Suburban,Student,801518,52,7.49,Business,2,52,1,6,0.68,60.01,0.2,2,0,1
CUST0079,36,1013738,Urban,Unemployed,937291,38,12.3,Auto,2,126,1,6,0.42,8.48,0.27,36,0,1
CUST0080,38,895275,Rural,Self-Employed,563313,51,14.57,Business,2,154,0,9,-0.19,66.32,0.07,32,1,1
CUST0081,44,1023651,Urban,Unemployed,835858,10,7.67,Personal,4,174,0,9,-0.94,67.35,0.35,42,1,1
CUST0082,46,1460527,Rural,Student,118487,48,12.74,Business,1,79,1,9,0.93,11.6,0.03,20,0,1
CUST0083,45,1753731,Urban,Unemployed,198694,53,11.87,Home,0,114,0,3,0.97,2.92,0.55,19,1,1
CUST0084,61,395716,Urban,Unemployed,173853,39,11.46,Business,1,133,2,5,0.1,71.27,0.21,0,1,1
CUST0085,49,784567,Urban,Salaried,365261,45,9.82,Auto,2,54,0,8,-0.86,34.98,0.29,38,0,0
CUST0086,35,515172,Urban,Student,285062,16,9.52,Personal,0,43,3,2,0.08,41.4,0.91,46,1,1
CUST0087,21,1090695,Rural,Student,501610,55,6.88,Auto,1,17,1,8,0.78,44.54,0.5,16,0,0
CUST0088,45,200126,Rural,Unemployed,283077,8,8.35,Home,0,15,1,3,0.36,56.96,0.27,28,1,0
CUST0089,27,1038761,Suburban,Salaried,937516,38,6.63,Auto,2,11,1,4,0.44,58.56,0.6,7,0,0
CUST0090,29,1276208,Rural,Student,73782,16,11.44,Auto,2,147,5,6,-0.83,14.37,0.2,25,1,1
CUST0091,44,700315,Urban,Self-Employed,559492,21,7.4,Auto,3,44,0,5,-0.79,17.42,0.07,27,0,0
CUST0092,21,1969246,Suburban,Unemployed,864886,23,13.92,Education,0,92,2,9,-0.75,63.19,0.02,33,0,1
CUST0093,64,1358521,Suburban,Student,904336,35,10.95,Home,5,21,1,7,0.81,59.1,0.95,25,0,0
CUST0094,28,517320,Suburban,Self-Employed,704224,53,12.45,Auto,5,96,0,7,0.05,44.66,0.72,12,1,1
CUST0095,44,1499445,Urban,Student,458808,15,9.99,Auto,1,46,1,7,0.58,71.62,0.8,43,0,0
CUST0096,31,941426,Rural,Self-Employed,203245,23,11.26,Auto,4,28,0,2,-0.77,53.07,0.98,36,0,1
CUST0097,37,698716,Urban,Unemployed,172258,43,14.51,Personal,2,44,0,9,0.86,15.93,0.93,12,0,1
CUST0098,28,1243917,Suburban,Student,685956,24,7.2,Education,3,76,0,5,0.64,61.04,0.74,37,1,0
CUST0099,55,1423975,Urban,Student,504418,41,8.66,Personal,2,8,1,6,-0.55,30.15,0.69,24,1,0
CUST0100,55,662120,Urban,Salaried,532616,18,13.13,Education,3,23,1,8,0.75,3.08,0.34,46,1,0
CUST0101,53,1383445,Rural,Unemployed,436328,51,7.34,Auto,2,14,1,9,-0.47,23.48,0.1,22,0,1
CUST0102,25,378954,Rural,Self-Employed,556581,8,7.14,Home,2,163,2,9,-0.59,55.09,0.57,21,0,1
CUST0103,62,869078,Suburban,Student,473966,15,9.57,Business,2,12,2,3,-0.47,69.15,0.58,20,0,0
CUST0104,59,1283136,Urban,Student,328710,43,7.28,Business,2,90,0,4,0.82,20.24,0.95,29,0,1
CUST0105,61,484260,Urban,Self-Employed,712550,6,11.47,Auto,0,171,2,7,0.83,18.13,0.44,10,0,0
CUST0106,48,332717,Rural,Unemployed,612621,32,8.42,Personal,4,100,0,0,-0.34,40.8,0.69,3,0,0
CUST0107,27,1427171,Urban,Salaried,434073,51,14.11,Home,4,70,3,5,0.41,58.54,0.57,32,1,0
CUST0108,29,848373,Urban,Salaried,786265,13,13.16,Education,1,121,1,3,0.35,53.88,0.18,46,1,1
CUST0109,28,579862,Urban,Student,663859,56,12.45,Auto,3,75,0,4,0.61,40.54,0.59,11,1,0
CUST0110,32,694592,Rural,Self-Employed,170263,51,11.74,Home,0,163,2,4,-0.41,45.64,0.54,8,1,0
CUST0111,54,1348734,Suburban,Student,969093,47,13.84,Home,2,115,1,1,0.02,17.81,0.49,31,0,0
CUST0112,53,1957109,Suburban,Self-Employed,599523,22,8.4,Education,0,60,2,7,0.34,31.43,0.51,10,1,0
CUST0113,43,1417078,Urban,Salaried,50159,14,13.92,Home,3,167,0,1,-0.95,18.76,0.16,36,0,0
CUST0114,44,1681074,Suburban,Unemployed,717505,11,13.21,Personal,2,125,4,3,-0.25,63.74,0.46,23,1,1
CUST0115,57,530388,Rural,Self-Employed,212993,48,12.86,Personal,1,154,0,4,0.39,8.55,0.61,6,0,1
CUST0116,55,1915630,Rural,Salaried,417003,30,11.27,Personal,0,0,0,0,-0.49,49.1,0.49,7,0,0
CUST0117,64,518408,Suburban,Student,197309,44,8.59,Home,0,161,1,5,0.92,19.11,0.49,32,1,0
CUST0118,60,668276,Suburban,Self-Employed,157507,54,10.1,Personal,4,67,0,1,-0.94,34.5,0.08,24,2,1
CUST0119,42,1214920,Urban,Unemployed,975748,33,13.25,Education,2,87,2,4,0.92,21.91,0.19,0,0,0
CUST0120,47,257545,Suburban,Student,64743,38,6.77,Home,2,20,2,5,-0.57,23.61,0.32,2,1,1
CUST0121,55,711411,Urban,Student,802462,59,13.15,Business,3,160,1,7,-0.9,19.12,0.42,39,1,1
CUST0122,21,1025656,Urban,Salaried,96101,42,8.54,Home,5,134,0,8,-0.42,54.32,0.59,27,1,1
CUST0123,55,1220020,Rural,Self-Employed,292717,14,7.73,Education,3,2,0,5,0.57,26.65,0.86,42,0,0
CUST0124,57,1084377,Rural,Student,695822,23,7.48,Business,0,50,1,4,0.5,52.43,0.16,32,0,0
CUST0125,34,213224,Rural,Unemployed,396371,26,6.73,Home,0,78,3,3,-0.58,33.11,0.02,45,0,1
CUST0126,23,240738,Rural,Self-Employed,280604,7,10.95,Personal,2,94,0,1,-0.61,39.63,0.45,0,0,1
CUST0127,21,1142654,Suburban,Unemployed,237450,48,8.36,Auto,2,122,0,1,0.29,39.35,0.43,37,0,0
CUST0128,25,1429336,Rural,Student,907558,43,14.91,Auto,2,5,1,6,-0.08,70.27,0.55,26,0,0
CUST0129,46,1217433,Suburban,Unemployed,892503,45,11.38,Personal,3,156,0,4,0.58,26.74,0.83,37,0,1
CUST0130,34,666725,Rural,Salaried,776481,41,7.67,Auto,0,16,1,6,-0.95,15.35,0.8,34,0,0
CUST0131,59,863937,Suburban,Unemployed,386907,55,12.35,Auto,0,116,1,0,0.22,65.69,0.1,9,0,0
CUST0132,47,1780934,Urban,Self-Employed,537030,48,14.13,Personal,3,59,0,0,0.46,13,0.93,11,2,1
CUST0133,29,1374737,Suburban,Unemployed,809710,42,12.83,Personal,2,149,0,4,0.99,60.16,0.11,9,0,0
CUST0134,35,1781530,Suburban,Unemployed,455453,20,7.15,Home,3,151,1,1,0.36,11.24,0.63,33,0,0
CUST0135,35,1044193,Rural,Salaried,721009,33,14.12,Home,1,124,3,7,-0.54,47.6,0.67,23,1,1
CUST0136,46,498512,Suburban,Unemployed,218785,23,13.25,Personal,3,80,1,2,-0.78,11.26,0.68,27,1,1
CUST0137,62,862143,Urban,Unemployed,254535,39,7.85,Education,3,84,2,0,0.28,66.5,0.27,21,1,1
CUST0138,33,766202,Urban,Student,750769,27,6.94,Auto,1,50,1,1,0.05,40.9,0.33,44,0,0
CUST0139,52,1450155,Rural,Student,229838,16,11.24,Home,3,177,0,9,0.8,24.04,0.55,15,0,0
CUST0140,59,852026,Urban,Self-Employed,620442,18,7.83,Auto,4,138,0,9,0.45,10.53,0.2,12,0,0
CUST0141,52,1196530,Suburban,Student,319160,9,13.59,Business,2,70,1,6,0.02,27.04,0.02,35,1,1
CUST0142,24,971253,Urban,Student,522779,27,9.55,Personal,1,169,0,5,-0.19,50.91,0.56,35,1,1
CUST0143,50,704471,Rural,Student,491904,12,14.26,Education,4,38,1,7,-0.19,28.02,0.47,42,2,1
CUST0144,57,1578246,Suburban,Student,926110,48,11.31,Business,1,68,1,6,-0.55,18.1,0.66,22,2,1
CUST0145,43,1006388,Rural,Salaried,948488,59,8.05,Business,1,47,0,9,-0.97,41.78,0.15,13,1,1
CUST0146,59,1467543,Suburban,Student,628526,29,7.69,Business,3,124,1,7,0.15,30.37,0.84,31,2,1
CUST0147,35,583152,Urban,Salaried,370752,9,11.4,Personal,1,56,1,2,-0.58,12.36,0.15,2,1,1
CUST0148,63,1154652,Rural,Salaried,663369,33,12.98,Home,4,20,1,5,-0.58,11.51,0.89,26,0,0
CUST0149,49,294270,Rural,Student,297644,20,13.14,Personal,3,81,2,6,-0.75,51.08,0.45,18,0,0
CUST0150,56,1245482,Suburban,Unemployed,999401,6,8.84,Home,0,98,1,9,-0.62,70.19,0.55,21,1,1
CUST0151,33,1791961,Rural,Salaried,887393,8,8.24,Business,2,147,1,0,-0.94,17.17,0.9,0,2,1
CUST0152,52,1914331,Suburban,Unemployed,249775,19,6.64,Business,3,14,1,0,0.35,55.78,0.3,4,0,0
CUST0153,27,1395889,Suburban,Unemployed,863349,43,12.27,Education,2,68,2,6,-0.2,6.76,0.18,48,0,1
CUST0154,42,358768,Suburban,Student,990240,55,7.15,Home,1,178,2,2,0.12,27.78,0.45,32,0,0
CUST0155,48,1495302,Suburban,Self-Employed,864422,6,10.08,Business,4,75,0,2,0.27,36.73,0.24,18,1,0
CUST0156,22,770451,Urban,Student,112551,43,11.61,Auto,1,61,1,4,0.94,19.72,0.53,35,0,1
CUST0157,62,219816,Suburban,Self-Employed,784983,43,14.47,Education,1,118,2,5,-0.86,38.36,0.28,5,1,0
CUST0158,26,1167344,Rural,Self-Employed,727800,26,9.15,Personal,0,36,1,1,-0.16,63.61,0.86,14,0,1
CUST0159,48,957907,Urban,Student,216277,53,8.62,Education,3,133,0,2,-0.51,68.03,0.61,35,1,0
CUST0160,48,514997,Rural,Student,130811,34,12.06,Auto,0,25,0,5,-0.05,7.69,0,32,1,0
CUST0161,64,1404565,Urban,Self-Employed,829128,10,11.76,Home,2,7,1,2,0.84,19.94,0.81,23,0,0
CUST0162,64,1869595,Suburban,Student,891535,54,9.32,Personal,1,3,0,4,0.45,70.51,0.33,26,1,1
CUST0163,40,1925502,Urban,Self-Employed,514028,15,14.39,Personal,1,20,1,8,0.32,19.83,0.32,48,0,0
CUST0164,50,1455100,Urban,Unemployed,418266,33,13.68,Home,2,158,0,2,-0.12,50.03,0.38,10,2,1
CUST0165,31,1835687,Rural,Student,284104,26,8.4,Education,4,148,0,5,0.34,18.62,0.63,48,1,1
CUST0166,48,1238896,Rural,Unemployed,593296,55,8.53,Business,4,24,1,4,-0.94,25.98,0.44,22,1,1
CUST0167,45,1400454,Suburban,Salaried,252346,12,10.85,Education,3,142,0,4,0.17,14.18,0.63,32,1,1
CUST0168,59,930880,Urban,Unemployed,606690,8,13.08,Auto,4,162,2,5,0.11,61.73,0.15,40,1,1
CUST0169,53,1774623,Urban,Unemployed,234456,50,6.87,Business,1,176,0,5,-0.31,63.61,0.97,45,1,1
CUST0170,21,981452,Urban,Self-Employed,834282,52,12.39,Education,2,42,1,0,-0.6,21.73,0.73,46,2,1
CUST0171,47,1683741,Suburban,Unemployed,449009,25,12.01,Home,1,168,0,8,0.62,59.39,0.25,28,0,1
CUST0172,33,333554,Suburban,Student,546043,24,8.47,Auto,1,36,0,4,-0.89,26.11,0.72,30,0,1
CUST0173,61,651282,Suburban,Self-Employed,186643,40,12.29,Auto,4,41,1,0,-0.86,7.58,0.58,0,1,1
CUST0174,23,1342077,Suburban,Salaried,540083,9,14.49,Auto,2,174,1,7,-0.12,54.7,0.11,33,1,1
CUST0175,59,464223,Suburban,Student,983713,10,6.9,Business,0,91,1,6,-0.49,43.15,0.18,17,1,0
CUST0176,26,1308252,Rural,Salaried,163550,6,9.22,Personal,3,60,1,6,0.49,20.12,0.04,17,0,0
CUST0177,28,1990380,Urban,Unemployed,534146,9,10.22,Business,1,141,1,4,0.27,18.59,0.81,5,1,1
CUST0178,47,1422108,Urban,Student,141218,17,14.14,Education,2,67,4,0,0.55,70.26,0.55,39,0,1
CUST0179,29,1863261,Urban,Student,183296,32,14.68,Personal,2,52,0,8,-0.35,62.17,0.32,0,0,0
CUST0180,57,797135,Urban,Salaried,549909,47,10.27,Education,0,83,1,8,0.48,58.4,0.13,46,1,0
CUST0181,53,1866471,Urban,Student,568767,28,12.88,Personal,2,33,1,7,0.72,9.65,0.48,41,0,1
CUST0182,62,420178,Urban,Student,229767,30,11.02,Business,5,75,4,4,-0.31,54.5,0.53,29,2,1
CUST0183,64,1398097,Urban,Student,957211,26,11.07,Auto,2,96,0,2,-0.32,15.84,0.7,3,1,1
CUST0184,44,626752,Urban,Unemployed,441858,57,8.86,Home,3,151,0,7,0.8,70.38,0.97,31,0,1
CUST0185,35,788365,Rural,Salaried,815348,29,8.34,Auto,0,147,0,0,-0.9,4.22,0.43,9,1,1
CUST0186,52,1024690,Urban,Student,290016,30,8.95,Business,2,29,3,2,-0.3,25.68,0.41,42,0,0
CUST0187,52,903662,Rural,Self-Employed,82441,50,11.23,Personal,1,87,0,6,-0.76,31.15,0.37,4,2,1
CUST0188,44,1505585,Suburban,Self-Employed,288038,51,6.75,Auto,3,6,0,3,-0.94,59.43,0.83,8,0,0
CUST0189,61,1386293,Urban,Self-Employed,744489,37,14.21,Business,2,35,0,6,-0.77,55.28,0.16,4,0,1
CUST0190,32,1630491,Suburban,Self-Employed,805612,37,7.83,Education,1,37,0,4,-0.14,27.31,0.34,10,1,1
CUST0191,59,762288,Suburban,Unemployed,898800,10,8.37,Home,2,51,1,5,0.37,40.94,0.72,34,0,1
CUST0192,22,1799601,Suburban,Student,666410,41,10.91,Auto,1,142,0,6,-0.42,60.25,0.02,26,0,1
CUST0193,23,500709,Rural,Salaried,94760,51,12.54,Personal,2,173,0,9,0.7,1.8,0.29,3,0,1
CUST0194,57,1143026,Suburban,Student,335622,47,7.31,Education,5,150,1,6,-0.12,57.86,0.64,9,0,0
CUST0195,37,1434816,Suburban,Unemployed,964313,54,9.2,Business,3,139,1,6,0.94,68.2,0.19,38,0,1
CUST0196,22,1825351,Suburban,Self-Employed,908286,47,14.73,Home,4,171,1,6,0.91,2.79,0.3,32,0,1
CUST0197,22,1523062,Urban,Unemployed,930662,44,8.73,Personal,2,142,2,6,0.55,3.76,0.49,37,0,0
CUST0198,48,1551526,Urban,Student,397860,21,9.16,Business,2,92,1,2,0.86,25.13,0.42,7,0,1
CUST0199,43,1559490,Rural,Salaried,717540,38,13.61,Business,0,106,1,2,0.41,6.78,0.11,48,0,0
CUST0200,57,1327199,Rural,Unemployed,148538,54,6.93,Auto,2,125,1,6,0.79,34.77,0.94,23,0,0
CUST0201,52,1613897,Urban,Salaried,589660,26,10.45,Auto,1,48,0,1,-0.53,52.6,0.04,38,0,0
CUST0202,53,1217289,Rural,Unemployed,866228,14,9.73,Personal,1,20,1,1,-0.31,41.03,0.75,32,0,0
CUST0203,21,1107425,Urban,Salaried,561511,11,9.19,Business,2,14,0,2,0.51,14.54,0.07,40,0,0
CUST0204,39,383675,Suburban,Salaried,271035,56,8.93,Auto,3,13,2,3,-0.15,47.32,0.47,42,0,0
CUST0205,22,1985910,Suburban,Self-Employed,935258,50,7.28,Home,1,41,1,5,0.67,49.47,0.18,18,0,0
CUST0206,64,1878811,Rural,Salaried,432736,40,9.18,Home,2,14,1,7,0.76,67.17,0.14,1,0,0
CUST0207,46,852465,Urban,Self-Employed,405779,44,6.87,Business,1,62,0,9,-0.4,11,0.13,10,0,0
CUST0208,52,1465030,Urban,Student,685310,27,13.14,Auto,2,26,3,9,0.65,50,0.45,34,1,1
CUST0209,26,1198748,Rural,Student,628328,46,9.88,Personal,1,92,2,6,-0.69,65.67,0.52,16,1,0
CUST0210,52,1358151,Urban,Self-Employed,911789,59,10.27,Personal,1,104,2,3,-0.33,36.36,0.13,41,0,0
CUST0211,24,1233024,Suburban,Self-Employed,776728,10,14.1,Personal,3,52,1,1,0.04,26.37,0.98,2,1,1
CUST0212,31,1456182,Rural,Unemployed,652644,47,12.09,Home,3,51,1,1,-0.55,12.71,0.26,21,0,0
CUST0213,37,705815,Rural,Unemployed,328355,28,6.57,Auto,1,62,1,3,0.16,62.48,0.46,34,1,1
CUST0214,58,1541398,Urban,Unemployed,417570,22,14.52,Auto,0,56,1,5,0.16,28.69,0.22,20,0,0
CUST0215,44,276218,Rural,Student,317986,17,8.52,Home,3,119,1,2,-0.59,66.63,0.49,24,0,0
CUST0216,25,787518,Urban,Unemployed,506331,28,7.41,Personal,3,51,0,5,0.59,61.11,0.76,38,2,1
CUST0217,54,970044,Urban,Salaried,903284,21,13.03,Personal,3,106,0,4,0.26,27.43,0.52,1,0,0
CUST0218,26,1584775,Urban,Salaried,437881,8,10.75,Business,0,42,1,4,-0.36,41.53,0.29,0,1,1
CUST0219,42,649589,Urban,Unemployed,358112,35,10.19,Education,0,134,0,1,-0.54,2.44,0.25,6,0,1
CUST0220,31,1935416,Urban,Salaried,853940,27,8.62,Auto,0,116,0,7,0.76,19.32,0.76,19,1,1
CUST0221,36,678446,Rural,Student,203077,14,11.15,Auto,4,169,0,4,0.67,51.28,0.12,42,1,1
CUST0222,53,662052,Suburban,Salaried,104575,34,8.83,Auto,1,3,2,1,-0.54,48.97,0.37,5,1,1
CUST0223,29,1582978,Suburban,Student,523958,52,14.16,Education,3,132,3,6,-0.93,25.77,0.15,35,0,0
CUST0224,26,1288562,Rural,Self-Employed,724331,42,8.33,Business,0,79,1,8,0.61,58.32,0.26,20,0,0
CUST0225,36,1928096,Rural,Self-Employed,468815,28,14.02,Education,0,40,1,8,0.23,17.36,0.15,45,0,0
CUST0226,49,547739,Suburban,Self-Employed,530808,18,11.25,Personal,4,131,2,0,-0.8,33.48,0.89,34,0,1
CUST0227,23,1874222,Suburban,Self-Employed,641202,37,13.54,Personal,1,1,2,6,0.17,34.29,0.73,35,0,0
CUST0228,40,672327,Suburban,Salaried,823422,51,12.56,Auto,2,148,0,8,-0.1,24.87,0.56,7,0,0
CUST0229,56,1575649,Suburban,Unemployed,641343,57,12.42,Home,4,42,2,5,0.55,68.76,0.22,49,0,1
